source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/diejungemitte_ch/,3702722205044979888_2258948227,"Vom 7. bis 10. August waren wir für unser Sommercamp in Malters im schönen Kanton Luzern.🥾⛰️ Mit über 30 Mitglieder haben wir unsere Themen vertieft, an Ideen gearbeitet und neue Pläne geschmiedet. Zwischen all den Gesprächen und Diskussionen kam das Zwischenmenschliche und das gemütliche Beisammensein natürlich nicht zu kurz. Am Samstag gings dann noch raus aufs Luzerner Land für eine schöne Wanderung. Ein perfekter Abschluss für ein gelungenes Camp!  Wir danken allen Teilnehmenden und freuen uns bereits jetzt auf das nächste Sommercamp!🧡 #diejungemitte #sommercamp #luzern #wanderung #diskussion",2025-08-19 15:55:08+00:00,8,118,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3693296845492592444_2258948227,Die nächste Delegiertenversammlung steht bevor!🤩 Sie findet in Biel/Bienne im Kanton Bern statt. Es erwarten euch einige spannende Programmpunkte wie beispielsweise die Parolenfassung zur E-ID oder das Gespräch mit dem neuen Mitte-Präsidenten Philipp Matthias Bregy. Das Highlight werden natürlich die Gesamterneuerungswahlen sein. Über den untenstehenden Link kannst du dich anmelden:  https://diejungemitte.ch/veranstaltungen/2-delegiertenversammlung-2025 Wir freuen uns auf eine spannende Delegiertenversammlung!🚀 #diejungemitte #delegiertenversammlung #bern #biel #wahlen,2025-08-06 15:49:04+00:00,2,46,0,1.0,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3689446981965092090_2258948227,"Alles Gute, liebe Schweiz!🇨🇭 Heute feiern wir, was unser Land stark macht - und wofür wir dankbar sein dürfen. Gleichzeitig stehen grosse Herausforderungen an, die wir mutig, wirksam und ganzheitlich anpacken müssen. Für eine Schweiz, die zusammenhält, Fortschritt wagt und niemanden zurücklässt. #diejungemitte #schweiz #1august #nationalfeiertag",2025-08-01 08:19:38+00:00,8,117,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3688275331546611176_2258948227,Unsere Vizepräsidentin Nina Gisler ist gegen den indirekten Gegenvorschlag zur Individualbesteuerungsinitiative und unterstützt das Referendum dazu. Unterschreib auch DU noch heute! 📝🚀 👉 Mehr Infos unter: https://steuer-schwindel-nein.ch #diejungemitte #referendum #individualbesteuerung #steuerschwindel,2025-07-30 17:31:45+00:00,1,50,1,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3684361478156663167_7660366739,Unser Präsident sagt Nein zum Steuerschwindel. Unterschreibe auch du jetzt das Referendum. ✍🏼,2025-07-25 07:55:37+00:00,1,26,0,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3679613128660261460_2258948227,"🇪🇺 Am vergangenen Wochenende fand in Brüssel der YEPP-Kongress statt! 🌟 Herzlichen Glückwunsch an Sophia Kircher, die zur neuen Präsidentin gewählt wurde! 🙏 Danke an Lidia Pereira für 6 Jahre engagierte Präsidentschaft! 👏 Und herzlichen Glückwunsch an Michele, der als Finanzprüfer wiedergewählt wurde. 📜 Der Kongress stimmte ab: - Das aktualisierte politische Programm - Eine Aktualisierung des Verhaltenskodexes - Den Beitritt von fünf neuen Mitgliedern und zwei Beobachtern. 👥 Dank an unsere Ehrengäste : - Maria Luís Albuquerque, Kommissarin für Finanzdienstleistungen. - François-Xavier Bellamy, Mitglied des Europäischen Parlaments & Schatzmeister der EVP - Claudia Plakolm, österreichische Ministerin für Europa, Integration und Familie. 🎙 Zwei inspirierende Panels : 1. Youth Engagement in Policy Making (Jugendliches Engagement in der Politikgestaltung). 2. Sustainability Through Innovation (Nachhaltigkeit durch Innovation). Die Jugend Europas handelt weiterhin für die Zukunft! 🇪🇺✊",2025-07-18 18:41:31+00:00,8,69,0,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3672219143843117738_38224573738,"Gemeinsam mit einer überparteiliche Allianz hat Die Mitte das Referendum gegen die vom Parlament beschlossene Einführung der Individualbesteuerung ergriffen. Diese Reform schafft neue Ungleichheiten und ist ein riesiges Bürokratiemonster. Die Individualbesteuerung benachteiligt Familien, überlastet den Mittelstand und verkompliziert unser Steuersystem massiv. Die Diskriminierung verheirateter Paare #Heirasstrafe kann auch ohne eine vollständige Systemänderung beseitigt werden. Jetzt Bogen ausdrucken, unterschreiben und einschicken! 📮",2025-07-08 13:50:58+00:00,1,25,1,0.12,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3667631860175357325_2258948227,"Heute startet die Women’s Euro 2025 - und die Schweiz ist Gastgeberin!⚽️🇨🇭 Als Junge Mitte freuen wir uns auf ein spannendes Turnier- und setzen uns gleichzeitig für mehr Gleichstellung im Sport ein. Frauen verdienen Anerkennung, faire Bedingungen und Schutz vor Diskriminierung - im Fussball wie in allen anderen Sportarten.  #womenseuro2025 #gleichstellung #fairplay  #diejungemitte",2025-07-02 05:56:52+00:00,8,79,1,1.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3659046068490417057_2258948227,"Heute ist der Weltflüchtlingstag Als Junge Mitte setzen wir uns für eine verantwortungsvolle Flüchtlingspolitik ein. Menschen, die vor Krieg, Verfolgung oder dem Klimawandel fliehen, verdienen Schutz und eine faire Chance auf Integration. Gleichzeitig braucht Integration klare Regeln und gegenseitigen Respekt. Wer bereit ist, sich zu integrieren, soll unterstützt werden. Wer unsere Werte ablehnt, muss mit Konsequenzen rechnen.  #diejungemitte #weltflüchtlingstag #integration  #verantwortung #menschenrechte",2025-06-20 09:38:26+00:00,8,36,0,-0.63,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3657572814445686596_2258948227,"Heute berät das Parlament zum ersten Mal über die Service-Citoyen-Initiative - eine Chance für mehr Inklusion, Solidarität und Sicherheit. Die Schweiz braucht neue Antworten auf neue Herausforderungen. 📣 Mehr unter: www.diejungemitte.ch/news",2025-06-18 08:51:20+00:00,8,51,0,0.01,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3656423194122370182_2258948227,Elternzeit wurde heute im Nationalrat beraten. Unser Appell: Flexibilisierung ja – aber nur mit echtem Ausbau! Le congé parental a été débattu aujourd’hui au Conseil national. Notre revendication: oui à davantage de flexibilisation - mais seulement avec une extension!,2025-06-16 18:50:03+00:00,2,48,1,0.0,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3654706261861801694_2258948227,Im Interview mit CH Media plädiert @marc.ruedisueli für eine nationale Strategie im Umgang mit Tech-Konzernen und sozialen Medien.  Wir müssen TikTok und Co. stärker in die #Verantwortung nehmen! 📱 📸 Raphaël Dupain #DieJungeMitte #DieMitte #Jungpartei #SocialMedia,2025-06-14 09:55:04+00:00,8,132,3,0.01,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3654165053401955595_2258948227,"Die Zukunft der Jungen Mitte mitgestalten? Jetzt ist deine Chance! An unserer nächsten Delegiertenversammlung vom 13. September 2025 finden die Gesamterneuerungswahlen statt – und wir suchen engagierte Mitglieder für den nationalen Vorstand. Ob Präsidium oder Vorstandsmitglied: Übernimm #Verantwortung und bring deine Ideen ein! 🚀 Ein herzliches Dankeschön bereits jetzt an unsere abtretenden Vorstandsmitglieder für ihren grossen Einsatz: Marc Rüdisüli, Maxime Moix, Isaure Juillard und Michele Roncoroni – merci für euer Engagement! 🧡 Jetzt suchen wir neue engagierte Köpfe – vielleicht genau dich? 🔍👉 Bewerbungsfrist: 1. September 2025",2025-06-13 16:00:13+00:00,8,124,0,0.64,1
instagram.com,https://www.instagram.com/diejungemitte_ch/,3653115284298639539_2258948227,"Ab 2026 gibt’s die 13. AHV-Rente - aber wer bezahlt das? Wir setzen uns für eine faire Finanzierung ein: Eine ausgewogene Mischung aus Lohnbeiträgen und Mehrwertsteuer sorgt dafür, dass die Lasten auf alle verteilt werden. ⚖️ 👉 Mehr unter: www.diejungemitte.ch/news",2025-06-12 05:15:02+00:00,8,29,0,0.75,0
instagram.com,https://www.instagram.com/diejungemitte_ch/,3652383364702972218_2258948227,"Unser Präsident @marc.ruedisueli hat sich entschieden, das Präsidium im Herbst abzugeben. Unter seiner Leitung konnte #DieJungeMitte wichtige Erfolge feiern: Ein anhaltender Mitgliederzuwachs sowie ein starkes Ergebnis bei den eidgenössischen Wahlen 2023, bei denen Die Junge Mitte in insgesamt sieben Kantonen die stärkste Jungpartei ist.  Besonders erfreulich ist dabei der Zuwachs bei den jungen Menschen, die Die Mitte wählen: Bei den 18- bis 34-Jährigen konnte Die Mitte ihren Wähleranteil von 8 Prozent auf 13 Prozent steigern und liegt damit vor GLP und FDP.  Das zeigt: Immer mehr junge Menschen setzen auf #Zusammenhalt und tragfähige #Lösungen statt auf Spaltung und Ideologien. Mit Marc an der Spitze hat Die Junge Mitte ihr Profil geschärft und sich auch nicht gescheut, die Mutterpartei zu kritisieren, wenn es nötig war. Die Junge Mitte ist heute sichtbarer, eigenständiger und wirkungsvoller denn je. Wir danken Marc für seinen grossen Einsatz! 🧡 Die Nachfolge wird bei den Gesamterneuerungswahlen an der Delegiertenversammlung am 13. September 2025 in Biel gewählt. 🗳️",2025-06-11 05:00:12+00:00,1,216,26,1.0,1
