source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased,voting.topic,engagement_score
instagram.com,https://www.instagram.com/glp_grunliberale/,3719325805354055236_8889484925,"PFAS werden nicht umsonst als «Ewigkeitschemikalien» bezeichnet: Sie sammeln sich in Böden, Gewässern und sogar in unserem Blut – und stellen damit ein ernstzunehmendes Gesundheitsrisiko dar. Ein sofortiges Totalverbot ist allerdings keine praktikable Lösung. Wir setzen stattdessen auf einen differenzierten Ansatz: ✅ Rascher Ausstieg in Bereichen, in denen sichere Alternativen verfügbar sind ⏳ Übergangsfristen dort, wo funktionierende Lösungen noch entwickelt werden müssen So schützen wir gemeinsam Umwelt und Gesundheit, schaffen Planungssicherheit für Unternehmen und fördern Innovationen in der Schweiz. #Schadstoffreduktion #Umweltschutz #Gesundheit #pfas",2025-09-11 13:44:10+00:00,2,65,3,0.2,0,-0.7145892631246049
instagram.com,https://www.instagram.com/glp_grunliberale/,3718744803778286219_3021657999,"Der Nationalrat hat heute bei der Finanzierung der 13. AHV-Rente einem Vorschlag der GLP zugestimmt. Die Finanzierung der 13. Rente soll über eine befristete Erhöhung der Mehrwertsteuer erfolgen. Das ist aus unserer Sicht die beste Lösung, die wir kurzfristig erreichen konnten. Wir haben damit den früheren Entscheid des Ständerates in 3 wichtigen Punkten korrigiert: Erstens: der Ständerat wollte eine Finanzierung teilweise über Lohnbeiträge. Das möchten wir nicht, weil damit die jüngere und arbeitende Generation das Rentenzückerli der älteren Generation zahlen muss. Mit der Erhöhung der Mehrwertsteuer zahlen alle mit. Ein wichtiger Schritt für die Generationengerechtigkeit. Zweitens: die Finanzierung ist nicht mehr gekoppelt an eine zusätzliche Erhöhung der Mehrwertsteuer für den Fall einer Annahme der unfairen Mitte-Initiative zur Aufhebung des AHV-Ehepaarplafonds. Wir finden es komplett unsachlich, eine Initiative auf Vorrat zu finanzieren, über die die Bevölkerung noch gar nicht abgestimmt hat. Drittens: unsere Lösung ist befristet. Damit verschaffen wir uns Zeit, um bessere und fairere Lösungen zu prüfen für die Finanzierung der AHV. Insbesondere fordern wir strukturelle Änderungen: eine Flexibilisierung des Rentenalters, die Einführung des Konzepts der Lebensarbeitszeit und eine automatische Koppelung des AHV-Referenzalters an die Lebenserwartung.   Wir bleiben dran! @glp_grunliberale",2025-09-10 19:10:09+00:00,1,157,8,1.0,1,1.2526512755639887
instagram.com,https://www.instagram.com/glp_grunliberale/,3718706073659057726_8282638970,"Hat der Bundesrat bei der Energiewende eigentlich nur ein Bremspedal? Diese Frage stelle ich mir im heutigen Video und gebe gleich meine Antwort dazu. ▶️ Schaut rein und lasst mich wissen, was ihr denkt! #Energiewende #Schweiz #Politik #Bundesrat #Nachhaltigkeit #ErneuerbareEnergie #Klimaschutz #Solarenergie #Windkraft #Wasserkraft #Energiepolitik #Umwelt #Zukunft #Klimawandel",2025-09-10 17:14:33+00:00,2,106,10,0.01,0,1.0982381931267131
instagram.com,https://www.instagram.com/glp_grunliberale/,3716402251297717605_8282638970,"🎬 Zur Mitte der Legislatur 2023-2027 ziehe ich im Beitrag von TeleZüri Bilanz. Vor allem der Fokus auf unsere Erfolge und Schwerpunkte ist zentral. Die Politik ist kein Wunschkonzert, aber wir bleiben dran: Für eine moderne, nachhaltige und liberale Schweiz! 💪 #GLP #Grünliberale #Halbzeitbilanz #Fortschritt #Politik #Schweiz #Nachhaltigkeit #Klimaschutz #Wirtschaft #Innovation #Digitalisierung #Europa #Parlament #Legislatur",2025-09-07 12:55:52+00:00,2,95,1,0.6,0,-0.785318495677841
instagram.com,https://www.instagram.com/glp_grunliberale/,3714297394126170070_8282638970,Das #VBS muss die richtigen Lehren aus dem #DrohnenFiasko ziehen. Swiss-Finish-Lösungen sind brandgefährlich!  Mehr dazu in der Stellungnahme der #GLP (Link in Story) #Sicherheitspolitik #Transparenz #Verantwortung #Politik #Schweiz #VBS #DrohnenFiasko #Beschaffung #Armee #Verteidigung #Steuergeld #Militär #Rüstung #Finanzen #Staatsausgaben #CH,2025-09-04 15:12:56+00:00,1,52,3,0.01,1,-0.8539630771663504
instagram.com,https://www.instagram.com/glp_grunliberale/,3711466269939070583_8282638970,"Die Sonntagszeitung behauptet, das Stromabkommen mit der EU verlange die Abschaffung der Mindestvergütung von 6 Rp./kWh für Solaranlagen bis 30 kW.  👉 Diese Behauptung ist falsch. 🔎 Hier die Fakten (auf der Grundlage des Posts von Roger Nordmann):  1️⃣ Der Bundesrat hat für die sechs wichtigsten Fördermassnahmen für erneuerbare Energien Ausnahmen ausgehandelt.  2️⃣ Für kleine Anlagen (<150 kW) musste er nichts aushandeln: Die EU-Richtlinie sieht selbst Ausnahmen bis 500–1000 kW vor.  3️⃣ Nach dem neuen Schweizer Recht, das am 1.1.2026 in Kraft tritt (vom Volk im Juni 2024 angenommen), verkaufen kleine Anlagen zum Marktpreis, haben aber Anspruch auf mindestens 6 Rappen pro kWh.  4️⃣ Nur bei negativen Preisen gibt es keine Vergütung – das verlangt das Abkommen.  5️⃣ Diese Regel hat aber schon das Parlament beschlossen, unabhängig vom Abkommen: Denn Stromüberschuss zu vergüten ist teuer und kontraproduktiv. Das Abkommen ändert daran nichts – sondern es ist eine innenpolitische Diskussion, welche noch geführt werden muss. #Energiezukunft #Solarstrom #Faktencheck #Stromabkommen #Bilaterale #Energiepolitik #Energiewende #Photovoltaik #Klimaschutz #Nachhaltigkeit #Schweiz #Bundesrat #Energieversorgung #ErneuerbareEnergien #Solarenergie #EnergiezukunftSchweiz #Energiesicherheit #Dekarbonisierung #Energiespeicher",2025-08-31 17:29:39+00:00,2,148,5,-1.0,0,0.56762004532996
instagram.com,https://www.instagram.com/glp_grunliberale/,3709940697983202534_8282638970,"Die GLP wehrt sich entschieden gegen den Entscheid des Bundesrats, den Bau neuer AKW zu ermöglichen. Die Ausführungen dazu gibts im Video.",2025-08-29 14:58:15+00:00,2,167,11,0.01,1,1.948403568416614
instagram.com,https://www.instagram.com/glp_grunliberale/,3708495375977417730_8889484925,"Die #GLP sagt überzeugt Ja zur E-ID! Sie ist: ✅ staatlich – vom Bund herausgegeben und sicher ✅ freiwillig – niemand wird gezwungen, sie zu nutzen   Was bringt sie dir konkret? 👉 Online-Banking eröffnen – statt Passkopien hochladen → in Sekunden identifiziert 👉 Wohnsitz ummelden – ohne Gang aufs Amt, einfach online einloggen 👉 Steuererklärung abgeben – automatisch im Portal eingeloggt, ohne Codes & Passwörter 👉 Medizinische Rezepte – direkt ins Wallet, in der Apotheke vorzeigen 👉 Digitale Signatur – Verträge & Vollmachten rechtsgültig online unterzeichnen 👉 Reisen buchen – Check-in mit digitalem Ausweis statt Passkopie hochladen … und noch vieles mehr!   Deine Vorteile im Alltag: ⏱️ Zeit sparen – kein Schalter, kein Anstehen 😌 Weniger Stress – keine zig Logins & Passwörter 📲 Weniger Papierkram – alles digital im Wallet gesammelt 🔒 Mehr Sicherheit – keine Ausweiskopien per E-Mail Stimme Ja zur E-#ID 🗳 und teile diesen Beitrag in deiner Story!",2025-08-27 15:08:58+00:00,8,72,3,1.0,1,-0.639541824794434
instagram.com,https://www.instagram.com/glp_grunliberale/,3707535452347750969_73488636070,"Die Geschichte der Schweiz zeigt, dass Kooperation unser Erfolgsmodell ist.  Für Tiana Angelina Moser, GLP-Ständerätin Zürich ist klar: «Der bilaterale Weg bringt Stabilität und Fortschritt gleichzeitig.» 🚨Die Initiative will die Personenfreizügigkeit kündigen und damit unseren bilateralen Erfolgsweg aufs Spiel setzen.   Das wären drastische Folgen für die Schweiz! 👀",2025-08-26 07:19:03+00:00,2,196,63,-0.83,0,12.460703273244782
instagram.com,https://www.instagram.com/glp_grunliberale/,3707037316980733436_8282638970,Mal ein etwas lockerer Beitrag - wie ich im Alltag so unterwegs bin 🎥,2025-08-25 14:49:44+00:00,2,90,3,0.24,0,-0.44656269765970924
