source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,sentiment_rulebased
instagram.com,https://www.instagram.com/juso_schweiz/,3728081500575368746_2944886569,"Eine Obergrenze für Menschen? Gestern diskutierte das Parlament über die SVP-Initiative „Keine 10-Millionen-Schweiz“. Aber bei dieser Initiative geht es nicht um Zahlen – es geht darum, Menschenrechte einzuschränken. Wir müssen uns gegen die bürgerlichen Parteien und ihre rassistischen Inhalte wehren! Wir können nicht zulassen, dass Angst und Rassismus unsere Gesellschaft bestimmen – Solidarität kennt keine Obergrenzen!",2025-09-23 15:42:22+00:00,2,253,4,-0.51
instagram.com,https://www.instagram.com/juso_schweiz/,3728005375023957155_2944886569,"Der Bundesrat hat bekanntgegeben, dass auch im 2026 die Prämien steigen werden. Satte 4.4% kommen auf die jetzt schon viel zu hohen Prämien obendrauf. So wird munter mit unserer Geundheit profit gemacht.  Es braucht jetzt einkommensabhängige Prämien, eine staatliche Einheitskasse und das ganze Gesundheitswesen muss verstaatlicht werden.",2025-09-23 13:08:15+00:00,8,178,2,0.37
instagram.com,https://www.instagram.com/juso_schweiz/,3727996979151396209_2944886569,"HEUTE NOCH BRIEFLICH ABSTIMMEN!  Am Sonntag stimmen wir über die Einführung einer E-ID und die kantonalen Liegenschaftssteuern auf Zweitliegenschaften (Abschaffung des Eigenmietwerts) ab. Bis heute kannst du noch brieflich abstimmen, danach musst du dein Couvert bei deiner Gemeinde einwerfen. Also, hopp! Hier unsere Empfehlungen: NEIN ZUR ABSCHAFFUNG DES EIGENMIETWERTS  Der Eigenmietwert ist ein fiktives Einkommen für alle Menschen, die eine Immobilie besitzen und darin wohnen. Das fiktive Einkommen beträgt etwa 60-70% der Miete, die man für diese Immobilie bezahlen würde. Dieser Betrag wird dann zum Arbeitseinkommen gerechnet und entsprechend besteuert. Immobesitzer*innen können sonst viele Abzüge bei den Steuern machen und um diese Ungleichbehandlung ggü. den Mieter*innen etwas auszugleichen gibt es eben diesen Eigenmietwert. Die Abschaffung dieses Systems würde die Schweiz jährlich zwei Milliarden kosten, nur damit eh schon privilegierte Personen weniger Steuern bezahlen müssen. Im Gegenzug wird die breite Bevölkerung mehr Steuern bezahlen, das ist bereits jetzt klar. Dazu sagen wir NEIN.  JA ZUR E-ID Der Bund will eine digitale Identität (E-ID) einführen. 2021 ist eine solche Vorlage an der Urne gescheitert, dort wäre die Umsetzung aber auch vor allem in den Händen von privaten Akteur*innen gelegen. Die Vorlage wurde überarbeitet, jetzt wäre die E-ID staatlich und es gibt auch sonst einige Verbesserungen. Darum sagen wir JA zur E-ID",2025-09-23 12:51:34+00:00,1,289,2,-0.07
instagram.com,https://www.instagram.com/juso_schweiz/,3727429108281187144_2944886569,"Teurere Medikamente, weil Novartis sich bei Trump anbiedert? Die Trump-Regierung will Zölle auf Medikamente erheben. Schweizer Pharmariesen sollen nun die Preise für die USA senken. Damit das ihre Milliardenprofite nicht schmälert, will der Novartis-CEO jetzt die Preise in der Schweiz erhöhen. Statt sich bei faschistischen Regierungen anzubiedern, müssen wir die Pharmaindustrie enteignen!",2025-09-22 18:03:18+00:00,8,237,6,-0.78
instagram.com,https://www.instagram.com/juso_schweiz/,3726633107538348767_46564761026,"Klimakrise und Kapitalismus gehen Hand in Hand: Es soll nicht sein, dass aufgrund von klimapolitischen Massnahmen Menschen arbeitslos werden, höhere Mieten zahlen müssen oder die Strompreise steigen. Kurz: Die Klimakrise soll nicht auf den Rücken der 99% dieser Bevölkerung ausgetragen werden. Die Verursacher*innen, die Superreichen, sollen endlich zur Kasse gebeten werden. #initiativefüreinezukunft #sieerbenmilliardenwirdiekrisen",2025-09-21 15:41:48+00:00,8,209,0,-0.34
instagram.com,https://www.instagram.com/juso_schweiz/,3725740459604611042_46564761026,"JETZT WIRDS ERNST! (also wirklich) Unterstütze jetzt unser Crowdfunding. Gegen die bürgerliche Angstkampagne, für die klimagerechte Zukunft (und nicht zuletzt) für Fundraiser Silas. Link in der Bio!",2025-09-20 10:18:05+00:00,2,245,4,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3725729343733809675_2944886569,"Heute findet wieder der ""Marsch fürs Läbe"" statt. Christliche Fundamentalist*innen wollen FLINTA-Personen das Recht auf körperliche Selbstbestimmung absprechen.  Doch für uns ist klar: körperliche Selbstbestimmung ist nicht verhandelbar!!! Abtreibungen müssen darum endlich aus dem Strafgesetzbuch gestrichen und komplett liberalisiert werden. Dazu gehört auch die Aufhebung der 12-Wochenfrist und die Verankerung vom Recht auf sichere Abtreibungen in der Verfassung.",2025-09-20 09:47:44+00:00,2,454,2,0.02
instagram.com,https://www.instagram.com/juso_schweiz/,3724250821509809897_2944886569,"ANTIFASCHISMUS IST PFLICHT Trump will die antifaschisitische Bewegung in den USA als terroristische Organisation einstufen.  Es gibt nicht DIE Antifa. Entweder du bist gegen Faschismus, also Antifaschist*in oder für Faschismus, dann bist du ein*e Fascho. Bei Trump ist der Fall klar. Es gilt jetzt Widerstand zu leisten, Trump und seine Regierung sind eine grosse Gefahr. Antifaschismus ist Pflicht, nie wieder ist jetzt.",2025-09-18 08:48:37+00:00,1,961,30,-1.0
instagram.com,https://www.instagram.com/juso_schweiz/,3723640366214179807_2944886569,"Die @fdp_schweiz will Menschen nach Hautfarbe fahnden. Mit dieser Forderung rennt sie aber offene Türen ein. Das ist rassistische Nonsense-Politik, die nichts anderes bewirkt, als gegen rassifizierte Personen zu hetzen!",2025-09-17 12:37:52+00:00,2,542,11,-0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3723566103814484925_2944886569,"Die neue Lohnstudie der UNIA hat ergeben, dass 2024 das durchschnittliche Verhältnis zwischen dem tiefsten und dem höchsten Lohn in den 39 grössten Schweizer Konzernen 1:143 beträgt. Das ist eine Frechheit. Denn während die Top-Löhne steigen und die Dividendenausschüttungen und Aktienrückkäufe den Besitzer*innen grosse Gewinne bescheren, stagnieren unsere Löhne. Diese Ungleichheit könne wir so nicht mehr hinnehmen.  Das Geld für faire Löhne steckt in ihren Taschen. Höchste Zeit, dass wir es zurücknehmen!!!",2025-09-17 10:08:12+00:00,8,296,7,-0.12
instagram.com,https://www.instagram.com/juso_schweiz/,3723025961152415174_2944886569,"Es sind dunkle Stunden.  Europa, die Schweiz hätte handeln können, stattdessen haben unsere politischen Entscheidungsträger*innen die Menschen in Gaza im Stich gelassen. Heute hat die israelische Armee eine grosse Bodenoffensive gestartet. Es ist womöglich die letzte Phase des andauernden Genozids. Niemand weiss, wie viele Menschen noch leben. Niemand weiss, wie viele Menschen überhaupt überleben können. Noch heute weigern sich die grossen Parteien der Schweiz, überhaupt von Genozid zu sprechen, geschweige denn, zu handeln. Ihr macht euch in diesem Moment mitschuldig. Das werden wir niemals verzeihen. Unsere Gedanken sind bei den Menschen in Gaza.",2025-09-16 16:15:02+00:00,8,950,12,0.22
instagram.com,https://www.instagram.com/juso_schweiz/,3720915051818619537_2944886569,"Die Initiative für eine Zukunft war heute am Klimastreik🤩 TAX THE RICH, SAVE THE CLIMATE! Wir wehren uns, heute, morgen und solange wir müssen. Die Superreichen, die mit ihrem Lebensstil und ihren Investitionen die Klimakrise verursachen, müssen jetzt gestoppt werden! Ja zur Initiative für eine Zukunft am 30. November✊🌹",2025-09-13 18:21:02+00:00,8,322,5,0.0
instagram.com,https://www.instagram.com/juso_schweiz/,3719456213638708351_2944886569,"Diese Woche hat das Schweizer Parlament versagt. Sowohl im Nationalrat als auch im Ständerat wurden Vorstösse abgelehnt, die die Schweiz verpflichtet hätten, den von Israel begangenen Genozid an der palästinensischen Bevölkerung klar zu benennen und konkrete Konsequenzen daraus zu ziehen. Statt sich auf die Seite des Völkerrechts zu stellen, hat die Parlamentsmehrheit weggeschaut – und damit erneut Mitschuld auf sich geladen. Wir fordern, dass das Parlament klare Positionen bezieht, die Menschenrechte der Palästinenser*innen schützt, die militärische Zusammenarbeit mit Israel stoppt, Sanktionen umsetzt und das humanitäre Leiden beendet. Jetzt muss  die Schweiz handeln, statt wegzusehen!",2025-09-11 18:02:35+00:00,8,692,6,-0.76
