source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count
instagram.com,https://www.instagram.com/jsvp_judc/,3709892116316225869_5410023061,"NEIN! zur E-ID am 28. September. Bislang gilt im digitalen Raum und auch im Alltag: Pass und Identitätskarte (ID) werden nicht verlangt — nur wo gesetzlich vorgeschrieben. Das E-ID-Gesetz würde dies ändern: es schafft eine digitale Identitätskarte (E-ID). Diese fördert, dass ständig und unnötig Passdaten verarbeitet und gespeichert werden. Diese neuartige Identitätskontrolle im Internet wird zum finanziellen Steilpass an Big Tech.",2025-08-29 13:22:37+00:00,2,184,12
instagram.com,https://www.instagram.com/jsvp_judc/,3709813688913204919_5410023061,"Das E-ID-Gesetz verschafft Big Tech erleichterten Zugriff auf die Passdaten der Bevölkerung. Dies stellt einen paradigmatischen Wechsel dar. Der Datenhandel mit der Kategorie Passdaten ist auch im Datenschutzgesetz nicht ausgeschlossen. Eindeutige Kennziffern an sämtlichen Informationen der E-ID ermöglichen die Überwachung des Verhaltens der Bürgerinnen und Bürger: Dies verletzt die Privatsphäre der Bevölkerung und birgt Risiken wie Diskriminierung, Kontrolle und Manipulation von Einzelpersonen und Demokratien. Firmen und Big Tech profitieren, dass der Staat mit dem E-ID-Gesetz ihre Profite fördert. NEIN! zum E-ID-Gesetz!",2025-08-29 10:44:36+00:00,1,99,12
instagram.com,https://www.instagram.com/jsvp_judc/,3707916985097179055_2214021347,KLIMA-SEKTE STOPPEN! Die Probleme der Klima-Sekte: ✈️ Familienferien  🍌 Schoggibananen  🚗 Dein Auto Was sie ignorieren: 🏡 Knapper Wohnraum  📈 Steigende Kriminalität 👥 Zu viel Migration Stoppe mit uns die Klima-Sekte und sag NEIN am 28. September zum Zürcher Energiegesetz.  Werde jetzt Mitglied und kämpfe mit uns für unsere Heimat. 🇨🇭,2025-08-26 19:56:12+00:00,8,805,21
instagram.com,https://www.instagram.com/jsvp_judc/,3705624048078344494_76106910667,Nun ist unsere Jungpartei offiziell gegründet. Wir danken den Referenten @nils_fiechter Künzli Beat @lukas.wilhelm für ihr Kommen und ihre unterstützende Rede für unsere Zukunft. #svp #jsvp #solothurn,2025-08-23 19:07:14+00:00,8,257,4
instagram.com,https://www.instagram.com/jsvp_judc/,3702850024514175711_5410023061,"NEIN zur E-ID am 28. September Die Delegierten der SVP Kanton Bern sagen mit 218 Nein zu 66 Ja Stimmen ganz klar NEIN zur E-ID am 28. September. Die unsichere, kostspielige, unnötige E-ID-Vorlage vermochte die Berner nicht zu überzeugen. Herzlichen Dank an @spahr_be, dass du den Finger auf die Wunde gelegt und den Anwesenden die Problematiken dieser E-ID aufgezeigt hast. Mehr dazu: https://e-id-gesetz-nein.ch",2025-08-19 20:09:03+00:00,8,82,5
instagram.com,https://www.instagram.com/jsvp_judc/,3702628209971889455_5410023061,"Das «SVP bi de Lüüt» - ist ein Traditionsanlass, der von dem Gedanken geprägt ist, dass in der Schweiz das Schweizervolk der Oberste Chef im Land ist und es somit den Politikern obliegt, wenn immer möglich die Nähe zum Volk zu suchen, um sich die Anliegen der Bevölkerung anzuhören. Das «SVP bi de Lüüt» findet jeweils am Freitagabend vor den Delegiertenversammlungen der SVP Schweiz oder an von den Kantonalsektionen festgelegten Tagen statt. Fotograph: Broowlyn-Owen Julian Giannin Etzweiler",2025-08-19 12:49:32+00:00,8,737,4
instagram.com,https://www.instagram.com/jsvp_judc/,3701092327133389672_5410023061,Wie viele Präsidenten sind auf diesem Bild zu sehen?,2025-08-17 09:56:49+00:00,1,261,7
instagram.com,https://www.instagram.com/jsvp_judc/,3700625510669587409_5410023061,"Auch die @svpch sagt: Nein! Zum E-ID-Gesetz am 28. September! Die E-ID ist kostspielig, gefährlich, unsicher und unnötig! Mehr Informationen dazu unter: https://e-id-gesetz-nein.ch",2025-08-16 18:29:20+00:00,8,108,1
instagram.com,https://www.instagram.com/jsvp_judc/,3700603207005151545_5410023061,Mit der Jungen SVP Schweiz an der Delegiertenversammlung der @svpch 🌞🇨🇭,2025-08-16 17:45:02+00:00,1,182,1
instagram.com,https://www.instagram.com/jsvp_judc/,3699851786831050810_5410023061,SVP BI DÄ LÜÜT 🔥🇨🇭,2025-08-15 16:52:07+00:00,1,478,11
