source_platform,source_platform_url,data.id,data.caption.text,data.caption.created_at,data.media_type,data.like_count,data.comment_count,data.ig_play_count,sentiment_rulebased,voting.topic
instagram.com,https://www.instagram.com/p/DHjMlsWsslY/,3593261296955549780_1491469054,"Nationalrat Michael Graber (VS): «Die Befürworter des EU-Unterwerfungsvertrages nennen diesen ""Bilaterale III"". Das ist völlig falsch! Damit will man dem Volk vorgaukeln, dass es um einen Vertrag zwischen gleichberechtigten Partnern geht. Das Gegenteil ist wahr. Wir müssen EU-Recht übernehmen, das nicht nur beim Handel mit der EU gelten soll, sondern auch in der Schweiz und gegenüber Drittstaaten. Im Klartext: Mit diesem Vertrag unterwerfen wir uns der EU»",2025-03-21 15:16:41+00:00,2,250,12,8388.0,-0.87,0
instagram.com,https://www.instagram.com/p/DHjMlsWsslY/,3593798455672856656_1491469054,Ramadan statt Aschermittwoch - Bundesrat Jans hofiert Muslimverbände | Schauen Sie sich jetzt den Videocast 📺 - Dütsch. Dütlich. DETTLING! - an. 👉🏻 svp.ch/ddd,2025-03-22 09:03:57+00:00,2,1483,259,48163.0,0.0,0
instagram.com,https://www.instagram.com/p/DHktJl8qjk7/,3595196973863024955_1491469054,"(Link in Bio) Dreister geht es kaum: Um die Zustimmung der Gewerkschaften zum EU-Unterwerfungsvertrag zu gewinnen, greift der Bundesrat tief in die Trickkiste. Ausweitung der allgemeinverbindlichen Gesamtarbeitsverträge, mehr Kontrollen, Bürokratie und Dokumentationen und nun sogar einen Kündigungsschutz für Mitarbeitervertreter und Gewerkschaftstätige. Kurz, alles, was die Gewerkschaften fordern, wird ihnen nun gewährt. Und damit der flexible Arbeitsmarkt der Schweiz geopfert.",2025-03-24 07:21:46+00:00,1,429,19,,-0.43,0
instagram.com,https://www.instagram.com/p/DHktJl8qjk7/,3594772294376016216_1491469054,Nationalrat Rémy Wyssmann (SO): «Die neuen Vorschriften der Weltgesundheitsorganisation (WHO) kommen die Schweiz teuer zu stehen. Auch soll die persönliche Freiheit weiter eingeschränkt werden. Mitte-links will dies durchwinken. Nur die SVP setzt sich für Freiheit und Eigenverantwortung ein!»,2025-03-23 17:18:41+00:00,2,248,7,6486.0,-0.6,0
instagram.com,https://www.instagram.com/p/DHlpul4q0lz/,3595220737951866681_1491469054,Nationalrat Pascal Schmid (TG): «Was tut SP-Asylvorsteher Beat Jans gegen das Asyl-Chaos? Nichts! Deshalb jetzt die Grenzschutz-Initiative unterschreiben!» 👉🏻 https://grenzschutz-initiative.ch,2025-03-24 08:09:41+00:00,2,295,7,8428.0,0.0,0
instagram.com,https://www.instagram.com/p/DHlxW2Xqeu-/?img_index=1,3595463399207291251_1491469054,"(Link in der Bio) Die heute veröffentlichte Kriminalstatistik für das Jahr 2024 bestätigt, was aufgrund der vielen Schlagzeilen längst absehbar war: Die Straftaten haben erneut massiv zugenommen auf über 563’000 Delikte. Das sind 8% mehr Straftaten gegenüber dem Vorjahr, nachdem bereits 2023 eine Zunahme um 14% zu verzeichnen war. Schaut man die Täter an, dann ergibt sich ein klares Bild: Sinkend ist einzig der Anteil der Schweizer. 58% der Straftaten gehen aufs Konto von Ausländern.",2025-03-24 16:11:15+00:00,1,571,42,,0.1,0
instagram.com,https://www.instagram.com/p/DHoINghMbhU/,3596006762624899883_1491469054,"(Link in der Bio) Hast du genug vom Asylmissbrauch, von der masslosen Zuwanderung, von steigenden Mieten und Krankenkassenprämien und von verstopften Strassen? Willst keine Bevormundung, tiefere Steuern und Abgaben und in Freiheit und Sicherheit leben? Dann werde JETZT SVP-Mitglied - bei der grössten und stärksten Schweizer Partei!",2025-03-25 10:10:39+00:00,1,821,26,,0.01,0
instagram.com,https://www.instagram.com/p/DHoINghMbhU/,3595496952011811774_1491469054,"Raubüberfälle, Vergewaltigungen, Messerstechereien und Einbrüche sind an der Tagesordnung. Insbesondere kriminelle Asyl-Migranten verüben teils schwerste Gewalttaten. Das herrschende Asyl-Chaos gefährdet die innere Sicherheit der Schweiz und kostet die Steuerzahler Milliarden. Statt die Grenzen zu kontrollieren, verweigert der verantwortliche SP-Bundesrat Jans griffige Massnahmen zum Schutz der eigenen Bevölkerung. Unterschreiben Sie deshalb jetzt die Volksinitiative «Asylmissbrauch stoppen! Grenzschutz-Initiative»! ✍️ grenzschutzinitiative.ch",2025-03-24 17:17:47+00:00,8,737,56,,-1.0,0
instagram.com,https://www.instagram.com/p/DHtRzk9h_SO/,3596160415097272404_1491469054,Nationalrat Gregor Rutz (ZH): «Die Schutzklausel ist komplett nutzlos! Damit können wir die Zuwanderung nie und nimmer eigenständig steuern. Im Gegenteil: Der EU-Unterwerfungsvertrages wird noch mehr Zuwanderung in die Schweiz bringen!»,2025-03-25 15:16:40+00:00,2,292,12,8212.0,-0.48,0
instagram.com,https://www.instagram.com/p/DHtRzk9h_SO/,3597410211673429865_1491469054,"Ein Pole wird 16 Mal aus der Schweiz ausgeschafft – und reist immer wieder ein, trotz Einreiseverbot und obwohl er bereits 33 Mal straffällig wurde!  Es reicht! Kriminelle Ausländer gehören konsequent ausgeschafft. Deshalb JETZT die Grenzschutz-Initiative unterschreiben! 👉🏻 grenzschutzinitiative.ch 📰 Link in der Bio",2025-03-27 08:39:07+00:00,1,1185,41,,-0.47,0
